Name,Branch,Field of Interest,Domain of Interest,Languages Known,Frameworks Used,Tools Experience,Technologies to Learn,Project Duration,Open-Source Contribution,Achievements
David Cantu,Mechanical Engineering,"['software engineering', 'computer vision']",['blockchain'],"['Dart', 'JavaScript', 'Shell Scripting', 'Scala', 'Ruby']","['Flutter', 'Next.js', 'React', 'Ember.js']",['Kubernetes'],"['Azure', 'Redis', 'TensorFlow']",2 months,No open-source contribution,No achievements
Brandon Moore,Electronics and Communication,"['embedded systems', 'algorithms', 'game development']","['game development', 'quantum computing', 'bioinformatics']","['C#', 'R', 'Shell Scripting']","['Spring Boot', 'NestJS', 'Nuxt.js', 'Laravel']","['Ansible', 'MySQL', 'AWS', 'MongoDB']","['MySQL', 'Google Cloud', 'Docker', 'Keras']",1 month,Contributed to XYZ project,No achievements
Julie Chavez,Computer Science,"['network engineering', 'blockchain']","['quantum computing', 'game development']","['Python', 'PHP']","['Nuxt.js', 'Express.js', 'NestJS']","['TensorFlow', 'Kubernetes', 'MySQL']","['MySQL', 'Keras', 'Elasticsearch']",1 month,Contributed to XYZ project,No achievements
Kelly Garcia,Mechanical Engineering,"['AR/VR', 'data science', 'computational biology']","['cybersecurity', 'bioinformatics']","['JavaScript', 'Go', 'Swift']","['Flask', 'Flutter', 'Ionic', 'Svelte']",['PostgreSQL'],"['PostgreSQL', 'TensorFlow']",2 months,Contributed to XYZ project,No achievements
Joshua Gilmore,Computer Science,['ethical hacking'],"['artificial intelligence and machine learning', 'data science and analytics', 'robotics']","['C#', 'Python', 'Dart', 'PHP']","['Django', 'Meteor']","['MongoDB', 'AWS', 'Azure', 'GitHub']",['MongoDB'],2 months,Contributed to XYZ project,No achievements
Kyle Porter,Information Technology,['deep learning'],"['IoT', 'web and mobile development', 'quantum computing']","['C', 'SQL', 'Objective-C', 'Kotlin', 'C#']","['Ionic', 'Svelte', 'React Native']","['GitLab', 'Ansible', 'Redis']","['Jenkins', 'GitLab']",1 week,No open-source contribution,No achievements
Shane Ramirez,Biotechnology,"['mobile app development', 'edge computing', 'artificial intelligence']","['data science and analytics', 'human-computer interaction', 'blockchain']","['C#', 'Python']","['Ember.js', 'Meteor', 'Nuxt.js']","['Ansible', 'Git']",['Redis'],1 week,No open-source contribution,Awarded XYZ in Biotechnology
Dana Hernandez,Civil Engineering,"['mobile app development', 'data science', 'AR/VR']",['artificial intelligence and machine learning'],['PHP'],"['React Native', 'Ruby on Rails']","['PostgreSQL', 'TensorFlow', 'GitLab']","['Redis', 'TensorFlow', 'Kubernetes']",1 month,No open-source contribution,No achievements
Emily Smith,Information Technology,"['IoT', 'digital signal processing', 'edge computing']","['IoT', 'web and mobile development']",['Lua'],"['Django', 'Nuxt.js', 'Ruby on Rails', 'Flask']","['Ansible', 'Docker', 'TensorFlow', 'Azure']","['Docker', 'PyTorch', 'Git']",1 month,No open-source contribution,No achievements
Anthony Nelson,Electrical Engineering,"['autonomous systems', 'quantum computing']",['game development'],"['Swift', 'PHP', 'Kotlin', 'Ruby']","['Next.js', 'Laravel']",['Ansible'],"['PyTorch', 'Docker', 'Ansible']",2 months,No open-source contribution,No achievements
Charles Barnes,Computer Science,"['DevOps', 'cloud security']","['quantum computing', 'human-computer interaction', 'data science and analytics']","['Rust', 'Objective-C', 'PHP', 'Kotlin', 'Go']","['React', 'Django', 'Ionic', 'React Native']",['Docker'],"['TensorFlow', 'Docker', 'Keras', 'PyTorch']",1 week,No open-source contribution,No achievements
Abigail Patterson,Biotechnology,"['computer architecture', 'web app development']","['data science and analytics', 'web and mobile development']","['C#', 'Objective-C', 'TypeScript']","['Flutter', 'Flask', 'Ember.js']",['AWS'],['TensorFlow'],1 week,No open-source contribution,No achievements
Shelly Myers,Civil Engineering,['computer vision'],"['data science and analytics', 'human-computer interaction']","['Python', 'MATLAB', 'Kotlin']","['Ruby on Rails', 'Vue.js']","['Redis', 'Ansible', 'GitLab', 'AWS']","['Kubernetes', 'Git', 'GitHub']",1 week,No open-source contribution,No achievements
Andre Simpson,Mechanical Engineering,"['ethical hacking', 'DevOps', 'IoT']","['blockchain', 'cybersecurity']","['MATLAB', 'Lua']","['Nuxt.js', 'Express.js']","['Elasticsearch', 'PostgreSQL']","['Jenkins', 'Ansible', 'Redis']",2 months,Contributed to XYZ project,No achievements
Linda Dickson,Electronics and Communication,['software engineering'],"['IoT', 'bioinformatics']",['Java'],"['Laravel', 'Ionic', 'Svelte']",['Git'],"['MongoDB', 'MySQL', 'GitLab', 'Keras']",1 week,No open-source contribution,Awarded XYZ in Electronics and Communication
Alexander Martinez,Electrical Engineering,['big data'],['data science and analytics'],"['Go', 'MATLAB']","['Express.js', 'Flutter', 'Meteor', 'React']","['MongoDB', 'Jenkins']","['Kubernetes', 'GitHub', 'GitLab', 'Google Cloud']",2 months,Contributed to XYZ project,Awarded XYZ in Electrical Engineering
Megan Blevins,Civil Engineering,"['robotics', 'IoT', 'cloud security']","['blockchain', 'quantum computing', 'robotics']",['JavaScript'],"['Ruby on Rails', 'Spring Boot', 'Express.js', 'Next.js']","['GitHub', 'Git']","['MongoDB', 'Jenkins']",1 week,Contributed to XYZ project,Awarded XYZ in Civil Engineering
Anne Johnson,Mechanical Engineering,"['edge computing', 'autonomous systems', 'computational biology']",['data science and analytics'],"['Rust', 'Scala', 'Ruby', 'C']",['React Native'],['MySQL'],"['MongoDB', 'PyTorch']",1 week,No open-source contribution,No achievements
Rhonda Miller DDS,Electronics and Communication,"['ethical hacking', 'autonomous systems']",['game development'],"['Kotlin', 'Dart', 'PHP', 'MATLAB']","['React Native', 'Flutter']","['Google Cloud', 'Redis', 'AWS']",['Keras'],2 months,No open-source contribution,No achievements
Michael Chandler,Electronics and Communication,['web app development'],['IoT'],"['Lua', 'C++']",['React Native'],['MongoDB'],"['Google Cloud', 'PostgreSQL', 'MongoDB', 'Jenkins']",1 week,No open-source contribution,No achievements
Luke White,Information Technology,"['DevOps', 'parallel computing', 'ethical hacking']","['human-computer interaction', 'robotics', 'blockchain']","['TypeScript', 'Ruby']","['Ionic', 'Ember.js', 'NestJS', 'Vue.js']","['PostgreSQL', 'TensorFlow']","['GitHub', 'Ansible', 'Elasticsearch']",2 months,Contributed to XYZ project,Awarded XYZ in Information Technology
Jeffrey Adams,Civil Engineering,"['bioinformatics', 'reinforcement learning', 'generative AI']",['IoT'],['Python'],"['Blitz.js', 'Spring Boot', 'Meteor']",['Redis'],"['Azure', 'GitLab', 'PyTorch', 'TensorFlow']",1 week,Contributed to XYZ project,No achievements
Carol Davis,Computer Science,['data science'],"['blockchain', 'quantum computing', 'web and mobile development']","['Ruby', 'C', 'Swift']","['Ember.js', 'Meteor', 'Next.js', 'React']","['MySQL', 'GitLab', 'Kubernetes']",['Redis'],1 month,Contributed to XYZ project,No achievements
John Thompson,Civil Engineering,"['AR/VR', 'data science']",['web and mobile development'],"['C#', 'Java', 'MATLAB', 'Rust']",['Meteor'],"['Jenkins', 'Azure']","['Ansible', 'PostgreSQL', 'Elasticsearch', 'GitHub']",1 week,No open-source contribution,No achievements
Michael Poole,Mechanical Engineering,"['IoT', 'artificial intelligence']",['bioinformatics'],"['Java', 'C#', 'Dart', 'Rust']","['Ionic', 'Ember.js', 'NestJS']",['Kubernetes'],"['TensorFlow', 'GitHub', 'Azure']",1 month,Contributed to XYZ project,No achievements
Patrick Weber,Computer Science,"['mobile app development', 'IoT', 'computational theory']",['game development'],"['Dart', 'MATLAB', 'Lua']","['Ionic', 'Laravel', 'Ruby on Rails', 'Next.js']","['PyTorch', 'Jenkins']","['PyTorch', 'Keras', 'Redis', 'GitHub']",1 week,No open-source contribution,No achievements
Michael Kennedy,Electronics and Communication,"['business intelligence', 'algorithms', 'big data']",['human-computer interaction'],"['PHP', 'SQL', 'JavaScript', 'Dart']","['Angular', 'Meteor', 'Django']","['MongoDB', 'GitHub', 'Redis', 'PostgreSQL']","['Kubernetes', 'MySQL', 'TensorFlow', 'AWS']",1 week,Contributed to XYZ project,No achievements
Linda Porter,Electronics and Communication,['system architecture'],['game development'],"['SQL', 'Dart', 'Kotlin', 'R']","['Flask', 'Vue.js', 'Django', 'React Native']","['Kubernetes', 'PyTorch', 'GitLab']",['AWS'],2 months,No open-source contribution,Awarded XYZ in Electronics and Communication
Dylan Smith,Information Technology,"['IoT', 'computer vision', 'parallel computing']",['cybersecurity'],['Dart'],"['Vue.js', 'Svelte']",['MongoDB'],['MongoDB'],2 months,No open-source contribution,No achievements
Lawrence Wilson,Mechanical Engineering,['edge computing'],"['data science and analytics', 'game development', 'artificial intelligence and machine learning']","['Scala', 'Lua', 'R', 'C++', 'Ruby']","['Django', 'Flutter', 'Ruby on Rails']",['GitLab'],"['PyTorch', 'Azure', 'Keras']",2 months,Contributed to XYZ project,No achievements
James King,Computer Science,"['human-computer interaction', 'autonomous systems']","['quantum computing', 'human-computer interaction']","['PHP', 'C++', 'Shell Scripting', 'JavaScript']","['Spring Boot', 'Express.js', 'Ember.js']","['TensorFlow', 'Kubernetes', 'GitHub', 'Git']",['Redis'],2 months,Contributed to XYZ project,No achievements
Joyce Rogers,Biotechnology,['computer vision'],"['IoT', 'human-computer interaction']","['Python', 'MATLAB']",['Ember.js'],"['PyTorch', 'Jenkins', 'Google Cloud']","['Azure', 'Elasticsearch', 'Git', 'Google Cloud']",1 month,No open-source contribution,No achievements
Cole Cameron,Computer Science,"['computer architecture', 'game development', 'business intelligence']",['web and mobile development'],"['C#', 'TypeScript', 'JavaScript', 'Objective-C']","['React Native', 'Meteor']",['Docker'],"['AWS', 'GitHub', 'Elasticsearch', 'Keras']",2 months,No open-source contribution,No achievements
Jonathan Warren,Civil Engineering,"['game development', 'bioinformatics']",['bioinformatics'],"['C++', 'Lua']",['Flutter'],"['Elasticsearch', 'GitHub', 'PyTorch', 'PostgreSQL']","['Azure', 'Google Cloud', 'Keras']",1 week,Contributed to XYZ project,Awarded XYZ in Civil Engineering
Sherry Spencer,Electrical Engineering,['network engineering'],['cybersecurity'],"['Python', 'C#', 'Objective-C']","['Flutter', 'Django']","['GitHub', 'Elasticsearch', 'TensorFlow']","['GitLab', 'Google Cloud', 'PyTorch']",1 month,No open-source contribution,No achievements
Kathleen Gonzalez,Electrical Engineering,"['data engineering', 'computer vision', 'DevOps']","['blockchain', 'quantum computing']",['JavaScript'],"['NestJS', 'Ember.js']","['Kubernetes', 'GitLab', 'TensorFlow', 'GitHub']","['Google Cloud', 'PyTorch', 'Git']",1 month,No open-source contribution,No achievements
Andrew Lopez,Electronics and Communication,"['distributed systems', 'data science']",['blockchain'],['Java'],"['Flutter', 'NestJS', 'React', 'Meteor']","['Git', 'Docker']","['Kubernetes', 'TensorFlow']",1 month,No open-source contribution,No achievements
Michael Rose,Biotechnology,"['deep learning', 'DevOps']",['game development'],['Java'],"['Django', 'Svelte']","['Elasticsearch', 'PyTorch', 'Redis']","['TensorFlow', 'Elasticsearch', 'Azure']",2 months,Contributed to XYZ project,Awarded XYZ in Biotechnology
Jamie Brown,Biotechnology,"['DevOps', 'machine learning', 'cloud security']",['robotics'],"['R', 'Shell Scripting']","['Flask', 'NestJS', 'Next.js', 'Blitz.js']","['TensorFlow', 'Google Cloud']","['Ansible', 'GitLab', 'PyTorch']",2 months,No open-source contribution,No achievements
Renee Singleton,Mechanical Engineering,"['computer architecture', 'deep learning']","['artificial intelligence and machine learning', 'web and mobile development', 'bioinformatics']","['JavaScript', 'Ruby']","['Meteor', 'Angular', 'Ember.js', 'Laravel']","['Ansible', 'MySQL', 'Jenkins', 'GitLab']",['Azure'],1 month,No open-source contribution,No achievements
Maria Gilbert,Electrical Engineering,"['robotics', 'generative AI']","['human-computer interaction', 'bioinformatics']","['Scala', 'C', 'R', 'Ruby']","['Svelte', 'Ionic']","['GitLab', 'Azure', 'Ansible']","['Git', 'Google Cloud', 'Elasticsearch', 'TensorFlow']",2 months,No open-source contribution,No achievements
Mary Baker,Electrical Engineering,['cryptography'],"['human-computer interaction', 'blockchain']","['SQL', 'Kotlin', 'Swift', 'MATLAB']",['NestJS'],"['Azure', 'AWS']",['Keras'],1 month,No open-source contribution,No achievements
Brandon Fitzgerald,Electrical Engineering,['computational theory'],['quantum computing'],"['Dart', 'Lua', 'Java', 'MATLAB', 'C']",['Flutter'],"['GitHub', 'TensorFlow']",['Google Cloud'],2 months,No open-source contribution,No achievements
Brianna Clark,Electrical Engineering,"['ethical hacking', 'computational biology', 'human-computer interaction']","['human-computer interaction', 'artificial intelligence and machine learning', 'web and mobile development']",['JavaScript'],['Spring Boot'],"['PyTorch', 'Keras', 'MongoDB', 'Docker']","['Keras', 'Jenkins', 'MongoDB']",1 month,No open-source contribution,No achievements
Shelby Davis,Electronics and Communication,['cryptography'],"['game development', 'bioinformatics', 'quantum computing']","['TypeScript', 'MATLAB']","['Spring Boot', 'Blitz.js']","['Git', 'Docker']","['MySQL', 'Google Cloud']",2 months,No open-source contribution,Awarded XYZ in Electronics and Communication
Vickie Smith,Computer Science,"['robotics', 'game development', 'quantum computing']","['human-computer interaction', 'artificial intelligence and machine learning', 'robotics']","['MATLAB', 'Scala', 'Go', 'PHP']","['React Native', 'Django']","['GitHub', 'GitLab']",['AWS'],2 months,Contributed to XYZ project,No achievements
April Allen,Civil Engineering,"['blockchain', 'mobile app development', 'distributed systems']",['robotics'],"['C#', 'Swift', 'Rust', 'Kotlin']","['Ruby on Rails', 'Svelte']",['Azure'],"['MongoDB', 'TensorFlow']",1 week,Contributed to XYZ project,No achievements
Rebecca White,Information Technology,['artificial intelligence'],"['artificial intelligence and machine learning', 'bioinformatics', 'cybersecurity']","['Go', 'MATLAB', 'C#', 'PHP', 'JavaScript']",['Angular'],"['PostgreSQL', 'GitHub', 'PyTorch']","['Azure', 'PyTorch', 'GitHub', 'Google Cloud']",1 week,No open-source contribution,No achievements
Chad Brooks,Electronics and Communication,"['IoT', 'generative AI']",['cybersecurity'],"['Ruby', 'SQL']","['Meteor', 'NestJS']","['GitHub', 'MongoDB']","['Ansible', 'Kubernetes', 'Git']",2 months,No open-source contribution,No achievements
Adam Flynn,Electrical Engineering,"['cryptography', 'artificial intelligence']","['web and mobile development', 'data science and analytics']",['PHP'],['Ruby on Rails'],"['TensorFlow', 'Docker']","['AWS', 'MongoDB']",2 months,No open-source contribution,No achievements
Julia Rodriguez,Computer Science,"['blockchain', 'reinforcement learning']","['bioinformatics', 'robotics', 'game development']","['R', 'Objective-C', 'Kotlin', 'Swift', 'PHP']",['React Native'],"['Redis', 'GitLab', 'AWS', 'Ansible']","['Jenkins', 'Azure']",2 months,No open-source contribution,No achievements
Eric Roberts,Civil Engineering,"['quantum computing', 'game development']","['robotics', 'quantum computing', 'bioinformatics']",['Ruby'],"['Spring Boot', 'Express.js', 'NestJS']","['PostgreSQL', 'AWS', 'Ansible']","['PostgreSQL', 'Kubernetes']",2 months,No open-source contribution,No achievements
Sara Bradford,Electronics and Communication,['AR/VR'],"['bioinformatics', 'blockchain']","['C', 'R', 'PHP', 'Dart', 'Java']","['Express.js', 'Blitz.js']","['Jenkins', 'TensorFlow']",['Ansible'],1 month,Contributed to XYZ project,No achievements
Russell Dominguez,Mechanical Engineering,"['edge computing', 'cryptography', 'web app development']","['human-computer interaction', 'blockchain']","['Shell Scripting', 'JavaScript', 'SQL', 'Dart', 'Swift']",['Ruby on Rails'],"['MongoDB', 'PostgreSQL', 'Docker']",['Jenkins'],2 months,Contributed to XYZ project,No achievements
